hero_name,num_games,blue_ban_num,red_ban_num,full_ban_num,full_ban_rate,blue_ban_ratio,red_ban_ratio,mbat_team_name,mbat_ban_num,mbat_ban_ratio,blue_pick_num,blue_pick_rate,red_pick_num,red_pick_rate,full_pick_num,full_pick_rate,mpnt_team_name,mpnt_pick_num,mpnt_win_num,mpnt_win_rate,full_bp_num,full_bp_rate,full_win_num,full_lose_num,full_win_rate,full_win_avg_game_time_sec,full_lose_avg_game_time_sec,mwrt_team_name,mwrt_pick_num,mwrt_win_num,mwrt_win_rate
novaria,57,4,2,6,0.1053,0.6667,0.3333,Deus Vult,2,0.333333333,9,0.1957,5,0.119,14,0.2745,AP.Bren,6,4,0.6667,20,0.3509,8,6,0.5714,1115,1016,ONIC Esports,3,3,1
diggie,57,3,12,15,0.2632,0.2,0.8,Deus Vult,6,0.4,1,0.0256,3,0.0732,4,0.0952,Deus Vult,3,3,1,19,0.3333,4,0,1,1120,0,Deus Vult,3,3,1
fanny,57,17,0,17,0.2982,1,0,ONIC Esports,7,0.411764706,1,0.025,0,0,1,0.025,Fire Flux Esports,1,1,1,18,0.3158,1,0,1,995,0,Fire Flux Esports,1,1,1
ixia,57,5,8,13,0.2281,0.3846,0.6154,Fire Flux Esports,5,0.384615385,4,0.093,1,0.025,5,0.1136,Deus Vult,2,1,0.5,18,0.3158,3,2,0.6,926,1021,Blacklist Intl.,1,1,1
dyrroth,57,5,2,7,0.1228,0.7143,0.2857,ONIC Esports,4,0.571428571,5,0.1136,6,0.1333,11,0.22,ONIC Esports,4,3,0.75,18,0.3158,6,5,0.5455,1156,856,AP.Bren,1,1,1
martis,57,2,2,4,0.0702,0.5,0.5,AP.Bren,1,0.25,4,0.0909,9,0.1837,13,0.2453,See You Soon,4,3,0.75,17,0.2982,6,7,0.4615,915,1179,ONIC Esports,1,1,1
phoveus,57,7,5,12,0.2105,0.5833,0.4167,AP.Bren,3,0.25,0,0,3,0.0667,3,0.0667,AP.Bren,2,1,0.5,15,0.2632,2,1,0.6667,912,1357,ONIC Esports,1,1,1
edith,57,5,2,7,0.1228,0.7143,0.2857,Blacklist Intl.,7,1,6,0.1224,1,0.0227,7,0.14,Blacklist Intl.,4,2,0.5,14,0.2456,4,3,0.5714,928,1185,AP.Bren,2,2,1
ruby,57,2,2,4,0.0702,0.5,0.5,Geek Fam ID,3,0.75,5,0.1,3,0.0625,8,0.1509,Geek Fam ID,4,3,0.75,12,0.2105,6,2,0.75,1119,892,ONIC Esports,1,1,1
lancelot,57,4,0,4,0.0702,1,0,See You Soon,4,1,3,0.0612,4,0.08,7,0.1321,See You Soon,4,2,0.5,11,0.193,3,4,0.4286,993,935,See You Soon,4,2,0.5
kadita,57,1,4,5,0.0877,0.2,0.8,ONIC Esports,5,1,0,0,5,0.0962,5,0.0962,ONIC Esports,3,2,0.6667,10,0.1754,3,2,0.6,1099,740,ONIC Esports,3,2,0.6667
uranus,57,2,3,5,0.0877,0.4,0.6,Deus Vult,3,0.6,1,0.0204,3,0.0588,4,0.0769,Burmese Ghouls,2,0,0,9,0.1579,2,2,0.5,1292,1302,Deus Vult,1,1,1
beatrix,57,1,2,3,0.0526,0.3333,0.6667,Deus Vult,2,0.666666667,5,0.0943,1,0.0204,6,0.1111,Fire Flux Esports,3,1,0.3333,9,0.1579,3,3,0.5,1028,1139,Deus Vult,1,1,1
gord,57,1,1,2,0.0351,0.5,0.5,AP.Bren,1,0.5,2,0.0385,3,0.0566,5,0.0909,ONIC Esports,2,2,1,7,0.1228,5,0,1,1021,0,ONIC Esports,2,2,1
karrie,57,0,1,1,0.0175,0,1,Fire Flux Esports,1,1,2,0.0385,4,0.0741,6,0.1071,Blacklist Intl.,3,2,0.6667,7,0.1228,3,3,0.5,894,887,ONIC Esports,1,1,1
yu zhong,57,0,0,0,0,0,0,,0,0,2,0.0385,5,0.0909,7,0.1228,See You Soon,3,2,0.6667,7,0.1228,4,3,0.5714,890,1266,Deus Vult,1,1,1
rafaela,57,1,0,1,0.0175,1,0,Blacklist Intl.,1,1,3,0.0556,2,0.0377,5,0.0893,Blacklist Intl.,5,5,1,6,0.1053,5,0,1,1163,0,Blacklist Intl.,5,5,1
chou,57,1,0,1,0.0175,1,0,ONIC Esports,1,1,2,0.0377,3,0.0556,5,0.0893,See You Soon,3,2,0.6667,6,0.1053,3,2,0.6,911,1398,See You Soon,3,2,0.6667
grock,57,0,1,1,0.0175,0,1,AP.Bren,1,1,2,0.0377,3,0.0556,5,0.0893,ONIC Esports,2,2,1,6,0.1053,3,2,0.6,993,1432,ONIC Esports,2,2,1
estes,57,1,1,2,0.0351,0.5,0.5,Blacklist Intl.,2,1,1,0.0189,2,0.037,3,0.0545,Blacklist Intl.,3,2,0.6667,5,0.0877,2,1,0.6667,966,1101,Blacklist Intl.,3,2,0.6667
gloo,57,0,1,1,0.0175,0,1,Fire Flux Esports,1,1,2,0.037,2,0.037,4,0.0714,Burmese Ghouls,2,1,0.5,5,0.0877,3,1,0.75,1131,803,AP.Bren,1,1,1
thamuz,57,0,1,1,0.0175,0,1,AP.Bren,1,1,3,0.0545,1,0.0189,4,0.0714,AP.Bren,3,2,0.6667,5,0.0877,2,2,0.5,871,1090,AP.Bren,3,2,0.6667
benedetta,57,1,1,2,0.0351,0.5,0.5,AP.Bren,1,0.5,1,0.0185,1,0.0185,2,0.0364,AP.Bren,1,1,1,4,0.0702,1,1,0.5,665,1805,AP.Bren,1,1,1
hilda,57,1,1,2,0.0351,0.5,0.5,Blacklist Intl.,1,0.5,0,0,2,0.0364,2,0.0364,Blacklist Intl.,1,0,0,4,0.0702,0,2,0,0,787,Blacklist Intl.,1,0,0
khufra,57,0,1,1,0.0175,0,1,ONIC Esports,1,1,0,0,3,0.0536,3,0.0536,See You Soon,1,1,1,4,0.0702,1,2,0.3333,870,1276,See You Soon,1,1,1
irithel,57,0,0,0,0,0,0,,0,0,3,0.0536,1,0.0185,4,0.0702,Fire Flux Esports,2,0,0,4,0.0702,0,4,0,0,1027,Fire Flux Esports,2,0,0
helcurt,57,0,1,1,0.0175,0,1,See You Soon,1,1,0,0,2,0.0357,2,0.0357,See You Soon,1,1,1,3,0.0526,1,1,0.5,1112,1075,See You Soon,1,1,1
leomord,57,1,0,1,0.0175,1,0,Fire Flux Esports,1,1,2,0.0357,0,0,2,0.0357,Fire Flux Esports,2,1,0.5,3,0.0526,1,1,0.5,908,1057,Fire Flux Esports,2,1,0.5
yve,57,0,0,0,0,0,0,,0,0,1,0.0182,2,0.0357,3,0.0526,Geek Fam ID,2,2,1,3,0.0526,2,1,0.6667,1086,842,Geek Fam ID,2,2,1
x.borg,57,0,1,1,0.0175,0,1,Fire Flux Esports,1,1,1,0.0179,0,0,1,0.0179,Geek Fam ID,1,0,0,2,0.0351,0,1,0,0,1359,Geek Fam ID,1,0,0
odette,57,0,0,0,0,0,0,,0,0,1,0.0179,1,0.0179,2,0.0351,AP.Bren,2,1,0.5,2,0.0351,1,1,0.5,665,709,AP.Bren,2,1,0.5
hayabusa,57,0,0,0,0,0,0,,0,0,1,0.0179,1,0.0179,2,0.0351,ONIC Esports,1,0,0,2,0.0351,0,2,0,0,763,ONIC Esports,1,0,0
floryn,57,0,0,0,0,0,0,,0,0,2,0.0351,0,0,2,0.0351,Blacklist Intl.,2,0,0,2,0.0351,0,2,0,0,1058,Blacklist Intl.,2,0,0
gusion,57,0,0,0,0,0,0,,0,0,1,0.0175,0,0,1,0.0175,ONIC Esports,1,1,1,1,0.0175,1,0,1,746,0,ONIC Esports,1,1,1
harith,57,0,0,0,0,0,0,,0,0,1,0.0175,0,0,1,0.0175,ONIC Esports,1,1,1,1,0.0175,1,0,1,746,0,ONIC Esports,1,1,1
franco,57,0,0,0,0,0,0,,0,0,0,0,1,0.0175,1,0.0175,Burmese Ghouls,1,0,0,1,0.0175,0,1,0,0,813,Burmese Ghouls,1,0,0
clint,57,0,0,0,0,0,0,,0,0,0,0,1,0.0175,1,0.0175,AP.Bren,1,0,0,1,0.0175,0,1,0,0,1357,AP.Bren,1,0,0
lunox,57,0,0,0,0,0,0,,0,0,0,0,1,0.0175,1,0.0175,Fire Flux Esports,1,0,0,1,0.0175,0,1,0,0,904,Fire Flux Esports,1,0,0
aamon,57,0,0,0,0,0,0,,0,0,0,0,1,0.0175,1,0.0175,Fire Flux Esports,1,0,0,1,0.0175,0,1,0,0,666,Fire Flux Esports,1,0,0
miya,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
balmond,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
saber,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
alice,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
nana,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
alucard,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
karina,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
bane,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
eudora,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
zilong,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
layla,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
lolita,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
freya,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
natalia,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
kagura,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
sun,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
alpha,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
yi sun-shin,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
moskov,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
johnson,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
cyclops,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
aurora,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
vexana,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
roger,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
gatotkaca,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
harley,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
argus,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
hylos,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
zhask,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
pharsa,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
lesley,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
jawhead,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
valir,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
hanabi,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
chang'e,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
selena,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
aldous,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
vale,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
hanzo,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
belerick,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
kimmy,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
minsitthar,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
badang,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
granger,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
esmeralda,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
ling,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
masha,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
silvanna,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
cecilion,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
carmilla,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
atlas,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
popol and kupa,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
luo yi,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
barats,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
natan,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
aulus,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
yin,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
melissa,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
xavier,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
julian,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
cici,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
